source,id,url,title,abstract,publication_date,year,doi
pubmed,42076151,https://pubmed.ncbi.nlm.nih.gov/42076151/,PKGPT: Expert-Orchestrated Recursive LLM Agent for Automated NONMEM PopPK Modeling with Human Benchmarking.,"<b>Background/Objectives:</b> Population pharmacokinetic (PopPK) modeling in NONMEM requires iterative, expertise-dependent workflows. Naïve zero-shot prompting of general-purpose large language models (LLMs) typically produces NONMEM code that fails to execute. This study introduces PKGPT, a recursive agentic LLM system designed to automate NONMEM-based PopPK model development and benchmarks its performance against human expert models. <b>Methods:</b> PKGPT, powered by Google's Gemini 3.0 Flash, embeds pharmacometrics expertise into phase-specific expert-agent prompts orchestrated across five sequential phases: base model establishment, structural diagnostics, overfitting reduction, random-effects optimization, and covariate analysis. The system recursively executes NONMEM, parses outputs, and iteratively refines control streams. PKGPT was evaluated on three public datasets (warfarin, theophylline, and tobramycin) and benchmarked against independently developed human expert models. <b>Results:</b> PKGPT consistently produced executable, converging NONMEM models across all three datasets. In warfarin, both PKGPT and the human expert selected a one-compartment oral structure (ADVAN2), but the expert achieved a lower OFV (294.41 vs. 484.43) via covariate scaling. In theophylline, PKGPT produced parameter estimates close to the expert solution (Ka = 1.59 vs. 1.46 h<sup>-1</sup>; CL = 0.0399 vs. 0.0404 L/h/kg). In tobramycin, PKGPT correctly identified a two-compartment structure but produced physiologically implausible peripheral volume estimates (V2 = 149 L vs. expert's 13.2 L). Across datasets, PKGPT did not identify clinically established covariates, and run-to-run reproducibility was variable. <b>Conclusions:</b> PKGPT substantially improves the robustness and usability of LLM-generated NONMEM code compared with naïve zero-shot prompting, accelerating model drafting and iterative refinement, but physiological plausibility and clinical interpretability still require a human-in-the-loop oversight.",2026 Apr 18,2026,
pubmed,42042548,https://pubmed.ncbi.nlm.nih.gov/42042548/,Artificial Intelligence in Transcriptomics: From Human-in-the-Loop to Agentic AI.,"To better understand the complexity of biological systems, research has shifted from a reductionist to a holistic approach, expanding the focus from single genes to a genome-scale view of gene activity and regulation. This is known as transcriptomics, a continuously growing field generating gene expression signatures from different technologies. A comparable paradigm shift has occurred in computational systems biology with the implementation of Artificial Intelligence (AI) learning models for gene expression analysis and integration. These models enable transcriptome-based profiling to address challenges of data heterogeneity, integration, and updating, assisting human intelligence and enhancing their ability to retrieve, analyze, integrate, and generate data recursively, thanks to their intrinsic predictive, inferential, reinforcement, and generative capabilities. Additionally, while scientists worldwide are still learning how to leverage AI methods that can maintain the human-in-the-loop, a new fundamental change is emerging: agentic AI, which can autonomously act and employ other AI methods to pursue its objectives. As a futuristic perspective, the proposed data analysis pipeline imagines agentic AI systems allowing the automated retrieval and pre-processing of heterogeneous transcriptomics data, analysis and integration with other omics datasets, performed with an incremental updating and recurrent analysis (IURA) model that could allow the detection of guideline updates (e.g., disease reclassification) and the generation of new hypotheses, such as candidate biomarkers or transcriptome-phenotype correlations. Since personalized medicine could derive profound benefits from its use, this scenario also raises important considerations regarding the advantages and concerns associated with the use of scientific AI agents in research and clinical practice.",2026 Mar 27,2026,
pubmed,42009269,https://pubmed.ncbi.nlm.nih.gov/42009269/,A comprehensive survey of AI agents in healthcare.,"This survey aims to systematically map the rapidly evolving landscape of AI agents in healthcare. It addresses the critical need to adapt general-purpose agentic frameworks characterized by autonomy, planning, and tool use to the high-stakes, safety-critical constraints of medical decision-making and patient care. We conducted a comprehensive review of over 200 recent studies, synthesizing literature from major academic databases. We developed a holistic taxonomy that traces the full lifecycle of healthcare agents, analyzing perception modalities, core technical architectures, and evaluation protocols specific to autonomous systems. The review presents a quantitative landscape analysis showing exponential growth in the field. We structure the domain into three pillars: (1) Perception of multi-modal clinical data (e.g., EHR, imaging, genomics); (2) Agent Capabilities, including tool use, reasoning, memory, and multi-agent collaboration; and (3) an Application Ecosystem organized by stakeholder roles (clinicians, patients, researchers, and administrators). Additionally, we categorize evaluation frameworks, and discuss the deployment readiness of current systems across technical, evidentiary, and governance dimensions. Finally, we identify challenges for advancing healthcare agents from controlled evaluation toward real-world clinical integration. A continuously updated repository of related papers is available at https://github.com/AgenticHealthAI/Awesome-AI-Agents-for-Healthcare. AI agents offer significant potential to enhance healthcare through autonomous reasoning and workflow integration. However, current research remains largely concentrated in benchmark and controlled evaluation settings, and the translation into clinical practice will require advances in reliability, privacy protection, governance, and operational integration.",2026 Apr 18,2026,
pubmed,41975498,https://pubmed.ncbi.nlm.nih.gov/41975498/,"AI Methods for Implementation Science (AIM-IS): developing a framework, toolkit, and reporting standard for the responsible use of AI in implementation practice and research.","Artificial intelligence (AI), including machine learning, natural language processing, and large language models, may support implementation practice and research in tasks such as evidence synthesis, determinant assessment, strategy selection, monitoring, adaptation, and theory development. However, these applications of AI do not form a single, uniform category. They span a continuum from practice-facing applications that support local implementation work to research- and methods-facing applications that support evidence generation and synthesis. The guidance on how to classify, evaluate, and report these uses of AI remains limited. The AI Methods for Implementation Science (AIM-IS) program aims to develop, validate, and maintain a suite of products to guide the responsible use of AI across implementation practice, implementation research, and bridging use cases. AIM-IS is a multi-phase, multi-method methodological development program. The unit of analysis is the AI-for-implementation use case: a specific AI capability supporting a defined implementation practice or research task within a workflow, decision point, and governance context. Phase 1 is a living scoping review mapping published AI use cases in implementation science, including how they are evaluated and what risks they raise. Phase 2 is a qualitative interview study with implementation researchers, practitioners, AI experts, community members, and data infrastructure and governance experts to refine use cases and identify feasibility constraints, outcome priorities, and reporting needs. Phase 3 will integrate findings from Phases 1 and 2 to develop the draft AIM-IS products, including a framework, a taxonomy of use cases, guardrails for responsible use, a practical guide, outcome domains, and reporting items. Phase 4 will use an eDelphi process and consensus meeting to refine and finalize these products. Phase 5 will conduct usability testing to improve clarity and ease of use, resulting in the finalized AIM-IS products. AIM-IS is informed by implementation science, sociotechnical systems, equity, and responsible AI frameworks, and includes a living-update approach to support ongoing refinement. The AIM-IS program will deliver a suite of products, including a framework, toolkit and reporting standard, to support the specification, governance, evaluation, and reporting of AI in implementation science. Together, these products aim to strengthen transparency, comparability, accountability, and attention to equity in how AI is used by implementation practitioners and researchers over time. Open Science Framework, March 15, 2026: https://doi.org/10.17605/OSF.IO/BX35K.",2026 Apr 14,2026,
pubmed,41959417,https://pubmed.ncbi.nlm.nih.gov/41959417/,Automated extraction and optimization of protein purification protocols using multi-agent large language models.,"Recent advances in Large Language Models (LLMs) present new opportunities for automating critical bottlenecks in scientific workflows such as literature reviews or protocol design. One such bottleneck is the purification of recombinant proteins, a vital aspect of biomedical research that frequently fails. To improve success rates, researchers must manually define optimal large-scale purification conditions and establish robust rescue protocols for proteins with low stability or solubility - a time-intensive process. To address this gap, we introduce a multi-agent LLM system that automates the creation and optimization of protein purification protocols to facilitate the production of high-concentration, high-purity protein samples. Our application streamlines the labor-intensive manual process of sequence similarity searches, literature reviews, and protocol comparison. Operating in a tool-like constrained workflow, the system identifies analogous proteins, leverages specialized LLM agents to extract successful purification methodologies from primary source literature, and cross-references them against failed protocols to generate optimization recommendations. Evaluation on a select number of targets demonstrated high accuracy in protocol extraction and the generation of scientifically sound, expert-validated optimization recommendations. While this system reduces complex analysis time from hours to minutes, we identify the lack of programmatic open access to literature, specifically primary citations in the Protein Data Bank, as a fundamental limitation to LLM agent-based scientific workflows. Ultimately, this system demonstrates the feasibility of using LLM agents to streamline wet-lab workflows while preserving methodological transparency and reproducibility.",2026 Mar 11,2026,
pubmed,41941899,https://pubmed.ncbi.nlm.nih.gov/41941899/,OMICX: An AI-powered web platform for integrative analysis of multi-condition single-cell transcriptomics data.,"Here, we introduce OMICX, an interactive, code-free web platform powered by a large language model (LLM) assistant, OMICX-Agent. This intelligent agent enables users to conduct comprehensive single-cell data analyses through natural language conversations, making advanced bioinformatics accessible to all. OMICX-Agent guides users through standard scRNA-seq processing workflows, multi-sample and multi-condition analyses, and integrative studies combining single-cell data with bulk RNA-seq or GWAS summary statistics. We demonstrate OMICX's versatility across three real-world case studies, showcasing its applications in an integrative analysis of scRNA-seq and GWAS summary data; an integrative analysis of scRNA-seq and bulk RNA-seq data; complex multi-condition scRNA-seq data analysis. Designed with usability and reproducibility in mind, OMICX empowers researchers to extract biological insights with ease and confidence. The platform is freely available at https://sqsun.github.io/software.html.",2026 Apr 04,2026,
pubmed,41929300,https://pubmed.ncbi.nlm.nih.gov/41929300/,"AI-Assisted Pneumonia Detection, Localisation and Report Generation from Chest X-rays.","Pneumonia detection in chest X-rays (CXRs) is complicated by high inter-observer variability and overlapping radiographic patterns. While deep learning (DL) solutions show promise, limitations in generalisability and explainability hinder clinical adoption. We address these challenges by introducing a holistic DL-based computeraided diagnosis (CAD) pipeline for pneumonia detection, localisation, and structured report generation from CXRs. We curated the largest composite of publicly available CXRs to date (N=922,634), of which <math xmlns=""http://www.w3.org/1998/Math/MathML""> <mrow><mover><mn>1</mn> <mo>˜</mo></mover> <mn>6</mn> <mo>,</mo> <mn>000</mn></mrow> </math> were used for training. MIMIC-CXR radiology reports were relabelled using a local large language model (LLM), positing that LLM-derived pneumonia labels would yield higher diagnostic sensitivity than the provided rule-based natural language processing (rNLP) labels. DenseNet-121 classifiers were trained on four configurations: MIMIC-CXR (rNLP), MIMIC-CXR (LLM), and each supplemented with VinDr-CXR data. Gradient-weighted Class Activation Mapping (Grad-CAM) provided visual explainability and lung zone-based localisation. LLM-driven relabelling significantly improved human-label agreement (96.5% vs 72.5%, P=1.66<i>×</i>10<sup>-11</sup>). The best-performing model (MIMIC-CXR (LLM) + VinDr-CXR) achieved 82.08% sensitivity and 81.97% precision, surpassing both radiologist sensitivity ranges ( 64-77.7%) and CheXNet's pneumonia F1-score (43.5%). Grad-CAM localisation attained a moderate F1-score of 52.9% (sensitivity=65.7%, precision=44.3%), confirming focus alignment with pathological lung regions while highlighting areas for refinement. These findings demonstrate that LLM-driven label curation, combined with DL, can exceed conventional rNLP and radiologist performance, advancing high-quality data integration in predictive medical imaging. Clinically, our pipeline offers rapid triage, automated report drafting, and real-time pneumonia surveillance; tools that can streamline radiology workflows and mitigate diagnostic errors.",2026 Mar 23,2026,
pubmed,41912700,https://pubmed.ncbi.nlm.nih.gov/41912700/,"Empowering AI data scientists using a multi-agent LLM framework with self-evolving capabilities for autonomous, tool-aware biomedical data analyses.","Artificial intelligence agents are emerging as powerful applications of large language models (LLMs), automating complex tasks and enabling scientific data exploration. However, their use in biomedical data analysis remains limited by the difficulty of handling specialized tools and multistep reasoning. Here we introduce BioMedAgent, a self-evolving LLM multi-agent framework, which learns to use diverse bioinformatics tools and chain them into executable workflows through interactive exploration and memory retrieval algorithms. It allows biomedical users to initiate tasks using natural language, without requiring computational expertise. Evaluated on our newly released BioMed-AQA benchmark comprising 327 biomedical data tasks, BioMedAgent achieved a 77% success rate, surpassing other LLM agents, and generalized robustly to the external BixBench dataset. Beyond benchmarks, it autonomously performs cross-omics analysis, machine-learning modelling and pathology image segmentation, highlighting its potential to advance biomedical research and extend to other scientific domains requiring complex tool integration and multistep reasoning.",2026 Mar 30,2026,
pubmed,41890081,https://pubmed.ncbi.nlm.nih.gov/41890081/,ChatSpatial: Schema-Enforced Agentic Orchestration for Reproducible and Cross-Platform Spatial Transcriptomics.,"Spatial transcriptomics has transformed our ability to study tissue architecture at molecular resolution, yet analyzing these data demands navigating dozens of computational methods across incompatible Python and R ecosystems-forcing researchers to devote more effort to making tools function than to pursuing biological questions. We present ChatSpatial, a platform in which the LLM selects from pre-validated tool schemas rather than generating free-form code, with domain expertise embedded in schema descriptions for context-aware parameter inference. Built on the Model Context Protocol (MCP), ChatSpatial unifies 60+ methods across 15 analytical categories into a single conversational workflow spanning Python and R ecosystems. Replication of two published studies-recovering subclonal heterogeneity in ovarian cancer and tumor microenvironment organization in oral squamous cell carcinoma-and validation across seven LLM platforms demonstrate that schema-enforced orchestration yields near-deterministic reproducibility at the workflow level for multi-step spatial analyses. Beyond replication, exploratory cross-method analyses illustrate practical triangulation across independent analytical frameworks.",2026 Mar 09,2026,
pubmed,41887499,https://pubmed.ncbi.nlm.nih.gov/41887499/,AI agents in drug discovery: applications and case studies.,"AI agents are emerging as transformative tools in drug discovery, with the ability to autonomously reason, act and learn through complicated research workflows. Building on large language models and specialized tools, these systems can integrate biomedical data, execute tasks, conduct experiments and iteratively refine hypotheses. We provide a conceptual overview of agentic AI architectures and illustrate their applications across key stages of drug discovery, including literature synthesis, automated protocol generation, toxicity prediction, small-molecule synthesis, drug repurposing and end-to-end decision-making. Early implementations demonstrate substantial gains in speed, reproducibility and scalability. We discuss the challenges related to data heterogeneity, system reliability, privacy, benchmarking and outline future directions toward technology in support of science and translation.",2026 Mar 24,2026,
